an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2023,2023,AG010,Îles-de-la-Madeleine,AG,13189,10 000 @ 24 999,,,11,Gaspésie-Îles-de-la-Madeleine,,,,19751700.000000,,52813600.000000,,0.825400,,0.122600,,0.014200,,1517010634.000000,0.037900,,,,136766.000000,,,11092.000000,,1394300500.000000,,1150815600.000000,,170919600.000000,
2023,2023,AG230,Québec,AG,593056,100 000 et plus,,,03,Capitale-Nationale,,,,308069015.000000,,1353144719.800000,,0.792300,,0.188800,,0.003500,,97063507067.118000,0.015400,,,,521054.000000,,,186283.000000,,87980334227.180000,,69705746589.270000,,16613373903.110000,
2023,2023,AG410,Cookshire-Eaton,AG,6273,2 000 @ 9 999,,,05,Estrie,,,,279188341.000000,,24976997.000000,,0.529700,,0.143100,,0.300300,,940267176.000000,0.026900,,,,262644.000000,,,3580.000000,,929555217.000000,,492402775.000000,,132987104.000000,
2023,2023,AG582,Longueuil,AG,437683,100 000 et plus,,,16,Montérégie,,,,221475403.000000,,1370389011.000000,,0.839600,,0.142900,,0.002400,,93773242600.780000,0.015000,,,,659479.000000,,,142193.000000,,91081757398.000000,,76476638915.000000,,13013254069.000000,
2023,2023,AG660,Montréal,AG,2048125,100 000 et plus,,,06,Montréal,,,,34725500.000000,,4866833912.000000,,0.820000,,0.169300,,0.000100,,490886093313.920000,0.010600,,,,993387.000000,,,494154.000000,,458752589578.000000,,376162727891.000000,,77688302275.000000,
2023,2023,AG770,Sainte-Marguerite-Estérel,AG,3777,2 000 @ 9 999,,,15,Laurentides,,,,1622478.000000,,131638020.000000,,0.826800,,0.085500,,0.001100,,1522462311.840000,0.086600,,,,260696.000000,,,5840.000000,,1519831558.000000,,1256649289.000000,,129921771.000000,
2023,2023,AG780,Sainte-Agathe-des-Monts,AG,11903,10 000 @ 24 999,,,15,Laurentides,,,,759771.000000,,170861145.000000,,0.800900,,0.136200,,0.000300,,2847301711.200000,0.062600,,,,311249.000000,,,9148.000000,,2730945384.000000,,2187315519.000000,,372008949.000000,
2023,2023,AG781,Mont-Tremblant,AG,11181,10 000 @ 24 999,,,15,Laurentides,,,,30510200.000000,,648327600.000000,,0.644600,,0.252200,,0.004600,,6613845632.000000,0.098600,,,,496386.000000,,,13324.000000,,6576856900.000000,,4239296200.000000,,1658722900.000000,
2023,2023,AG790,Mont-Laurier,AG,15397,10 000 @ 24 999,,,15,Laurentides,,,,47570784.000000,,101581790.000000,,0.712200,,0.209800,,0.024900,,2067006215.480000,0.053200,,,,251644.000000,,,8214.000000,,1909988494.000000,,1360211624.000000,,400624296.000000,
2023,2023,AG791,Rivière-Rouge,AG,5818,2 000 @ 9 999,,,15,Laurentides,,,,14252600.000000,,89336400.000000,,0.843700,,0.059200,,0.013400,,1158466922.000000,0.083700,,,,209374.000000,,,5533.000000,,1066840100.000000,,900110300.000000,,63140800.000000,
2023,2023,AG900,La Tuque,AG,11741,10 000 @ 24 999,,,04,Mauricie,,,,8329918.000000,,33738899.000000,,0.752600,,0.218200,,0.005800,,1546431894.040000,0.023400,,,,125685.000000,,,12304.000000,,1439713965.000000,,1083507957.000000,,314137191.000000,
