Municipalité,CDNAME,Région
Alleyn-et-Cawood,Pontiac,7
Aumond,La Vallée-de-la-Gatineau,7
Blue Sea,La Vallée-de-la-Gatineau,7
Boileau,Papineau,7
Bois-Franc,La Vallée-de-la-Gatineau,7
Bouchette,La Vallée-de-la-Gatineau,7
Bowman,Papineau,7
Bristol,Pontiac,7
Bryson,Pontiac,7
Campbell's Bay,Pontiac,7
Cantley,Les Collines-de-l'Outaouais,7
Cascades-Malignes,La Vallée-de-la-Gatineau,7
Cayamant,La Vallée-de-la-Gatineau,7
Chelsea,Les Collines-de-l'Outaouais,7
Chichester,Pontiac,7
Chénéville,Papineau,7
Clarendon,Pontiac,7
Denholm,La Vallée-de-la-Gatineau,7
Duhamel,Papineau,7
Déléage,La Vallée-de-la-Gatineau,7
Dépôt-Échouani,La Vallée-de-la-Gatineau,7
Egan-Sud,La Vallée-de-la-Gatineau,7
Fassett,Papineau,7
Fort-Coulonge,Pontiac,7
Gatineau,Gatineau,7
Gracefield,La Vallée-de-la-Gatineau,7
Grand-Remous,La Vallée-de-la-Gatineau,7
Kazabazua,La Vallée-de-la-Gatineau,7
Kitigan Zibi,La Vallée-de-la-Gatineau,7
L'Ange-Gardien,Les Collines-de-l'Outaouais,7
L'Isle-aux-Allumettes,Pontiac,7
L'Île-du-Grand-Calumet,Pontiac,7
La Pêche,Les Collines-de-l'Outaouais,7
Lac-Lenôtre,La Vallée-de-la-Gatineau,7
Lac-Moselle,La Vallée-de-la-Gatineau,7
Lac-Nilgaut,Pontiac,7
Lac-Pythonga,La Vallée-de-la-Gatineau,7
Lac-Rapide,La Vallée-de-la-Gatineau,7
Lac-Sainte-Marie,La Vallée-de-la-Gatineau,7
Lac-Simon,Papineau,7
Lac-des-Plages,Papineau,7
Litchfield,Pontiac,7
Lochaber,Papineau,7
Lochaber-Partie-Ouest,Papineau,7
Low,La Vallée-de-la-Gatineau,7
Maniwaki,La Vallée-de-la-Gatineau,7
Mansfield-et-Pontefract,Pontiac,7
Mayo,Papineau,7
Messines,La Vallée-de-la-Gatineau,7
Montcerf-Lytton,La Vallée-de-la-Gatineau,7
Montebello,Papineau,7
Montpellier,Papineau,7
Mulgrave-et-Derry,Papineau,7
Namur,Papineau,7
Notre-Dame-de-Bonsecours,Papineau,7
Notre-Dame-de-la-Paix,Papineau,7
Notre-Dame-de-la-Salette,Papineau,7
Otter Lake,Pontiac,7
Papineauville,Papineau,7
Plaisance,Papineau,7
Pontiac,Les Collines-de-l'Outaouais,7
Portage-du-Fort,Pontiac,7
Rapides-des-Joachims,Pontiac,7
Ripon,Papineau,7
Saint-André-Avellin,Papineau,7
Saint-Sixte,Papineau,7
Saint-Émile-de-Suffolk,Papineau,7
Sainte-Thérèse-de-la-Gatineau,La Vallée-de-la-Gatineau,7
Shawville,Pontiac,7
Sheenboro,Pontiac,7
Thorne,Pontiac,7
Thurso,Papineau,7
Val-des-Bois,Papineau,7
Val-des-Monts,Les Collines-de-l'Outaouais,7
Waltham,Pontiac,7
Amherst,Les Laurentides,15
Arundel,Les Laurentides,15
Baie-des-Chaloupes,Antoine-Labelle,15
Barkmere,Les Laurentides,15
Brownsburg-Chatham,Argenteuil,15
Brébeuf,Les Laurentides,15
Chute-Saint-Philippe,Antoine-Labelle,15
Doncaster,Les Laurentides,15
Estérel,Les Pays-d'en-Haut,15
Ferme-Neuve,Antoine-Labelle,15
Gore,Argenteuil,15
Grenville,Argenteuil,15
Grenville-sur-la-Rouge,Argenteuil,15
Harrington,Argenteuil,15
Huberdeau,Les Laurentides,15
Ivry-sur-le-Lac,Les Laurentides,15
Kiamika,Antoine-Labelle,15
L'Ascension,Antoine-Labelle,15
La Conception,Les Laurentides,15
La Macaza,Antoine-Labelle,15
La Minerve,Les Laurentides,15
Labelle,Les Laurentides,15
Lac-Akonapwehikan,Antoine-Labelle,15
Lac-Bazinet,Antoine-Labelle,15
Lac-De La Bidière,Antoine-Labelle,15
Lac-Douaire,Antoine-Labelle,15
Lac-Ernest,Antoine-Labelle,15
Lac-Marguerite,Antoine-Labelle,15
Lac-Oscar,Antoine-Labelle,15
Lac-Saguay,Antoine-Labelle,15
Lac-Saint-Paul,Antoine-Labelle,15
Lac-Supérieur,Les Laurentides,15
Lac-Tremblant-Nord,Les Laurentides,15
Lac-Wagwabika,Antoine-Labelle,15
Lac-de-la-Maison-de-Pierre,Antoine-Labelle,15
Lac-de-la-Pomme,Antoine-Labelle,15
Lac-des-Seize-Îles,Les Pays-d'en-Haut,15
Lac-des-Écorces,Antoine-Labelle,15
Lac-du-Cerf,Antoine-Labelle,15
Lachute,Argenteuil,15
Lantier,Les Laurentides,15
Mille-Isles,Argenteuil,15
Mont-Blanc,Les Laurentides,15
Mont-Laurier,Antoine-Labelle,15
Mont-Saint-Michel,Antoine-Labelle,15
Mont-Tremblant,Les Laurentides,15
Montcalm,Les Laurentides,15
Nominingue,Antoine-Labelle,15
Notre-Dame-de-Pontmain,Antoine-Labelle,15
Notre-Dame-du-Laus,Antoine-Labelle,15
Piedmont,Les Pays-d'en-Haut,15
Prévost,La Rivière-du-Nord,15
Rivière-Rouge,Antoine-Labelle,15
Saint-Adolphe-d'Howard,Les Pays-d'en-Haut,15
Saint-Aimé-du-Lac-des-Îles,Antoine-Labelle,15
Saint-André-d'Argenteuil,Argenteuil,15
Saint-Colomban,La Rivière-du-Nord,15
Saint-Faustin-Lac-Carré,Les Laurentides,15
Saint-Hippolyte,La Rivière-du-Nord,15
Saint-Jérôme,La Rivière-du-Nord,15
Saint-Sauveur,Les Pays-d'en-Haut,15
Sainte-Adèle,Les Pays-d'en-Haut,15
Sainte-Agathe-des-Monts,Les Laurentides,15
Sainte-Anne-des-Lacs,Les Pays-d'en-Haut,15
Sainte-Anne-du-Lac,Antoine-Labelle,15
Sainte-Lucie-des-Laurentides,Les Laurentides,15
Sainte-Marguerite-du-Lac-Masson,Les Pays-d'en-Haut,15
Sainte-Sophie,La Rivière-du-Nord,15
Val-David,Les Laurentides,15
Val-Morin,Les Laurentides,15
Val-des-Lacs,Les Laurentides,15
Wentworth,Argenteuil,15
Wentworth-Nord,Les Pays-d'en-Haut,15
Acton Vale,Acton,16
Akwesasne,Le Haut-Saint-Laurent,16
Akwesasne (partie),Le Haut-Saint-Laurent,16
Ange-Gardien,Rouville,16
Beauharnois,Beauharnois-Salaberry,16
Béthanie,Acton,16
Clarenceville,Le Haut-Richelieu,16
Dundee,Le Haut-Saint-Laurent,16
Elgin,Le Haut-Saint-Laurent,16
Franklin,Le Haut-Saint-Laurent,16
Godmanchester,Le Haut-Saint-Laurent,16
Havelock,Le Haut-Saint-Laurent,16
Hemmingford,Les Jardins-de-Napierville,16
Henryville,Le Haut-Richelieu,16
Hinchinbrooke,Le Haut-Saint-Laurent,16
